registry_id,project,eligibility,commit_sha,license,entry_point,distributed_entry,scenario_sharding,rng_binding,failure_semantics,reduction,topology_test,topology_signal,evidence_level,prior_code_exposure
topology-REG-001,Drive-WM,INELIGIBLE_NO_SUBSTANTIVE_METHOD_ENTRY,eabe3c63bf362a2edf0fb6cbcb908424d2e18980,Apache-2.0,README.md:13-20,NOT_CODED,NOT_CODED,NOT_CODED,NOT_CODED,NOT_CODED,NOT_CODED,NO,README_VERIFIED,README_AND_CODE_PREVIOUSLY_READ
topology-REG-002,DriveDreamer,ELIGIBLE,da1ca92f831bc23d91b59ad418eb47b41cbb1fa9,Apache-2.0,dreamer-train/projects/DriveDreamer/drivedreamer/tester.py:98-140,ACCELERATE_PREPARED_DATALOADER,MAIN_RANK_CONSUMES_ONLY_ITS_PREPARED_SHARD,PERSISTENT_STREAM_ON_MAIN_SHARD,IMPLICIT_FAIL_FAST,NO_CROSS_RANK_RESULT_REDUCTION,ABSENT,YES_SCENARIO_SET,STATIC_HIT_PLUS_CPU_ISOMORPHIC_REPRODUCTION,POSITIVE_PATH_PREVIOUSLY_READ
topology-REG-003,Vista,ELIGIBLE,cc9821b4253ca7987c32757613d2fc2448fa9f5d,Apache-2.0,sample.py,NO_DISTRIBUTED_API_IN_ENTRY,NOT_APPLICABLE_SINGLE_PROCESS,FIXED_PROCESS_LOCAL_SEED,IMPLICIT_FAIL_FAST,PROCESS_LOCAL_OUTPUT,ABSENT,NO_DEFAULT_DISTRIBUTED_TOPOLOGY,STATIC_ENTRY_AUDIT,README_AND_CODE_PREVIOUSLY_READ
topology-REG-004,MagicDrive,ELIGIBLE,f6dd2e56da8a3a158c47e74a006c28d8aea13433,Apache-2.0,perception/data_prepare/val_set_gen.py:70-170,ACCELERATE_PREPARED_DATALOADER,ACCELERATE_SHARD,DEFAULT_FIXED_SEED_OPTIONAL_RANK_SEEDED_STREAM,IMPLICIT_FAIL_FAST,ALL_GATHER_OBJECT_OR_PER_RANK_FILES,ABSENT,NO_DEFAULT_VIOLATION_CONFIRMED,STATIC_ENTRY_AUDIT,NONE_BEFORE_FREEZE
topology-REG-005,Panacea,ELIGIBLE,ddb45f99bbe17bf4110237788ad7ef1d6c511587,Apache-2.0,inference.py:246-316,NCCL_DDP,STANDARD_DISTRIBUTED_SAMPLER_PADDING,BASE_SEED_PLUS_RANK,IMPLICIT_FAIL_FAST,PER_TOKEN_FILES_WITHOUT_EXPLICIT_DEDUP,ABSENT,YES_SCENARIO_SET_AND_RNG_IDENTITY,STATIC_HIT,NONE_BEFORE_FREEZE
topology-REG-006,DriveDreamer2,ELIGIBLE,a8b4dde4a0734f7c53da5324960bb3fccd3f52e4,Apache-2.0,dreamer-train/projects/DriveDreamer2/drivedreamer2/drivedreamer2_tester.py:109-185,ACCELERATE_PREPARED_DATALOADER,MAIN_RANK_CONSUMES_ONLY_ITS_PREPARED_SHARD,PERSISTENT_GENERATOR_STREAM_OVER_SHARD,IMPLICIT_FAIL_FAST,NO_CROSS_RANK_RESULT_REDUCTION,ABSENT,YES_SCENARIO_SET_AND_RNG_IDENTITY,STATIC_HIT,NONE_BEFORE_FREEZE
topology-REG-007,OpenDWM,ELIGIBLE,b0ecc3d4020612376ea5a87500f98bc76893428f,MIT,src/dwm/evaluate.py:64-84,TORCH_DISTRIBUTED,DATASET_FLOORED_TO_WORLD_SIZE_TIMES_BATCH,UNKNOWN,IMPLICIT_FAIL_FAST,DISTRIBUTED_SAMPLER_AND_MODEL_SPECIFIC_REDUCTION,ABSENT,YES_SCENARIO_SET,STATIC_HIT_PLUS_CPU_ISOMORPHIC_REPRODUCTION,POSITIVE_PATH_PREVIOUSLY_READ
topology-REG-008,WorldLens,ELIGIBLE,fa6c5ff177e99d0d5b126f238ca42a430982b19a,Apache-2.0,worldbench/videogen/downstream/occ_prediction/engine.py:74-143,NCCL_DDP,MMDET_DISTRIBUTED_DATALOADER,GLOBAL_SEED_ZERO,UNBOUND_TOKENS_ON_DISTRIBUTED_BRANCH,MULTI_GPU_TEST_THEN_RANK0_SAVE,ABSENT,YES_FAILURE_ACCOUNTING,STATIC_HIT,NONE_BEFORE_FREEZE
topology-REG-009,DriveLaW,ELIGIBLE,b26bffe57dae9e874512818194b204006ab0d089,Apache-2.0,DriveLaW-Act/navsim/planning/script/run_pdm_score_videodrive.py:320-377,TORCH_DISTRIBUTED,NAVSIM_SHARDED_EVALUATION,UNKNOWN,DESERIALIZATION_FAILURE_POSSIBLE,VARIABLE_PAYLOAD_GATHER_TRIMMED_BY_RANK0_SIZE,ABSENT,YES_REDUCTION,STATIC_HIT_PLUS_CPU_ISOMORPHIC_REPRODUCTION,POSITIVE_PATH_PREVIOUSLY_READ
topology-REG-010,Navigation World Models,ELIGIBLE,3f6cd8e70d6f2d1e2b9684acff510710135f0f41,CC-BY-NC-4.0,isolated_nwm_infer.py:126-219,TORCH_DISTRIBUTED,STANDARD_DISTRIBUTED_SAMPLER_EXPLICITLY_ADDS_DUPLICATES,PROCESS_LOCAL_GENERATION_STREAM,IMPLICIT_FAIL_FAST,PER_TOKEN_FILES_AND_SEPARATE_METRIC_REDUCTION,ABSENT,YES_SCENARIO_SET,STATIC_HIT,NONE_BEFORE_FREEZE
topology-REG-011,CarDreamer,ELIGIBLE,160132436aeda1de54956f9910e56f3970a565aa,UC_RESEARCH_NONCOMMERCIAL,eval_dm3.sh;dreamerv3/eval.py,NO_DISTRIBUTED_API_IN_EVAL_ENTRY,NOT_APPLICABLE_SINGLE_PROCESS,PROCESS_LOCAL_JAX_RNG,IMPLICIT_FAIL_FAST,PROCESS_LOCAL_METRICS,ABSENT,NO_DEFAULT_DISTRIBUTED_TOPOLOGY,STATIC_ENTRY_AUDIT,NONE_BEFORE_FREEZE
topology-REG-012,DriveArena,ELIGIBLE,bab94c537c6fb2c136caf53604c4a0b9a99efac6,Apache-2.0,WorldDreamer/tools/test.py,NO_DISTRIBUTED_API_IN_TEST_ENTRY,NOT_APPLICABLE_SINGLE_PROCESS,FIXED_PROCESS_LOCAL_SEED,IMPLICIT_FAIL_FAST,PROCESS_LOCAL_FILES,ABSENT,NO_DEFAULT_DISTRIBUTED_TOPOLOGY,STATIC_GIT_TREE_AUDIT,NONE_BEFORE_FREEZE
